------- 2018-10-25 16:52:17.401690 -------
fph_mode    ,damage_mode ,l_length    ,l_num_sqrs  ,l_time      ,f_aborted   ,f_sr_lnth   ,f_num_trps  ,f_num_dmgd  ,f_totdm_dgr ,f_dmdgr_rio ,f_dmcnt_rio ,f_dmpth_rio 
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1085.463,           0,           0,    80.65000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1143.561,           0,           0,    80.65000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1051.722,           0,           0,    80.65000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6812.190,           0,         506,    80.65000,     0.91039,     0.43778,     6.21465
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    7121.307,           0,         506,    80.65000,     0.91039,     0.43778,     6.49665
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    7043.326,           0,         506,    80.65000,     0.91039,     0.43778,     6.42551
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    7039.565,           0,         506,    80.65000,     0.91039,     0.43778,     6.42208
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6972.574,           0,         506,    80.65000,     0.91039,     0.43778,     6.36096
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1207.899,           0,           0,   110.35000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1035.185,           0,           0,   110.35000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1067.505,           0,           0,   110.35000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1037.222,           0,           0,   110.35000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1042.751,           0,           0,   110.35000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6768.530,           0,         579,   110.35000,     0.87739,     0.35667,     6.27813
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6769.974,           0,         579,   110.35000,     0.87739,     0.35667,     6.27947
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6494.435,           0,         579,   110.35000,     0.87739,     0.35667,     6.02389
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6550.445,           0,         579,   110.35000,     0.87739,     0.35667,     6.07585
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6556.792,           0,         579,   110.35000,     0.87739,     0.35667,     6.08173
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     995.690,           0,           0,   153.10000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1024.431,           0,           0,   153.10000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1007.643,           0,           0,   153.10000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1044.200,           0,           0,   153.10000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1006.076,           0,           0,   153.10000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6622.766,           0,         610,   153.10000,     0.82989,     0.32222,     6.52099
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6732.629,           0,         610,   153.10000,     0.82989,     0.32222,     6.62916
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6958.469,           0,         610,   153.10000,     0.82989,     0.32222,     6.85153
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6963.375,           0,         610,   153.10000,     0.82989,     0.32222,     6.85636
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6683.269,           0,         610,   153.10000,     0.82989,     0.32222,     6.58056
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1193.339,           0,           0,   237.57500,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1123.184,           0,           0,   237.57500,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1094.405,           0,           0,   237.57500,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1085.726,           0,           0,   237.57500,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1073.837,           0,           0,   237.57500,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6528.313,           0,         631,   237.57500,     0.73603,     0.29889,     5.85973
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6597.276,           0,         631,   237.57500,     0.73603,     0.29889,     5.92163
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6677.054,           0,         631,   237.57500,     0.73603,     0.29889,     5.99324
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6673.024,           0,         631,   237.57500,     0.73603,     0.29889,     5.98962
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6575.711,           0,         631,   237.57500,     0.73603,     0.29889,     5.90227
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1157.806,           0,           0,   330.42500,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1163.843,           0,           0,   330.42500,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1110.064,           0,           0,   330.42500,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1243.860,           0,           0,   330.42500,     0.00000,     0.00000,     0.00000
